salesanalysis,Design,Category_Code,VOCNO,GROSS_WT1,NETVALUECC1
1,DIAMOND RING,RN,354,1,1064.3
1,DIAMOND RING,RN,354,1,2726.81
1,DIAMOND RING,RN,354,1,1699.21
1,DIAMOND RING,RN,354,1,2668.09
1,DIAMOND RING,RN,354,1,3585.59
1,DIAMOND RING,RN,354,1,1390.93
1,DIAMOND RING,RN,354,1,1901.06
1,DIAMOND RING,RN,354,1,844.1
1,DIAMOND RING,ER,354,1,3457.14
1,DIAMOND RING,RN,354,1,7662.96
1,DIAMOND RING,RN,354,1,4367.3
1,DIAMOND RING,RN,354,1,1757.93
1,DIAMOND RING,RN,354,1,8760.29
1,DIAMOND RING,RN,354,1,1600.12
1,DIAMOND RING,RN,354,1,2466.24
1,DIAMOND RING,RN,354,1,1012.92
1,DIAMOND RING,RN,354,1,10085.16
1,DIAMOND RING,RN,354,1,778.04
1,DIAMOND EARRING,ER,354,1,3548.89
1,DIAMOND RING,RN,354,1,2058.87
1,DIAMOND RING,RN,354,1,1064.3
1,DIAMOND RING,RN,354,1,1126.69
1,DIAMOND RING,RN,354,1,2198.33
1,DIAMOND RING,RN,354,1,5134.33
1,DIAMOND PENDANT,PN,354,1,1636.82
1,DIAMOND RING,RN,354,1,2018.5
1,DIAMOND RING,RN,354,1,1192.75
1,DIAMOND RING,RN,354,1,1247.8
1,DIAMOND RING,RN,354,1,946.86
1,DIAMOND BANGLE,BN,354,1,4271.88
1,DIAMOND BANGLE,BN,354,1,3534.21
1,DIAMOND,PN,354,1,1075.31
1,DIAMOND RING,RN,354,1,8852.04
1,DIAMOND RING,RN,354,1,2466.24
1,DIAMOND RING,RN,354,1,6473.88
1,DIAMOND,PN,354,1,774.37
1,DIAMOND RING,RN,354,1,1247.8
1,DIAMOND RING,RN,354,1,7207.88
1,DIAMOND RING,RN,354,1,1251.47
1,DIAMOND RING,RN,354,1,4392.99
1,DIAMOND RING,RN,354,1,517.47
1,DIAMOND BRACELET,BT,354,1,3838.82
1,DIAMOND BRACELET,BT,354,1,2124.93
1,DIAMOND RING,RN,354,1,2315.77
1,DIAMOND RING,RN,354,1,1636.82
1,DIAMOND RING,RN,354,1,1343.22
1,DIAMOND RING,RN,354,1,2756.17
1,DIAMOND PENDANT,PN,354,1,2268.06
1,DIAMOND PENDANT,PN,354,1,1012.92
1,DIAMOND RING,RN,354,1,1101
1,DIAMOND RING,RN,354,1,1086.32
1,DIAMOND RING,RN,354,1,748.68
1,DIAMOND RING,RN,354,1,466.09
