BRANCH_CODE,VOCTYPE,VOCDATE,Date2,SYSTEM_DATE,DIVISION_CODE,STOCK_CODE,DESIGN_CODE,CATEGORY_CODE,COLLECTION,CATCOLL_CODE,BRAND_CODE,PARTYCODE,PCS,GROSSWT,STONEWT,NETWT,PUREWT,NETVALUECC,NETVALUEFC,Date,Year,Sales_quantity,Sales_value,sales_value_per_unit
SJGS,PS1,01-01-2014,01-01-2014,02/01/2014 11:1I:18,M,MR012371,LRC000488,RN,TWINS,RN_TWINS,BAND,BD8838,-1,-1,0,0,-1,-3460,-3460,01-01-2014,2014,1,3460,3460
SOFITL,PS1,01-01-2014,01-01-2014,01/01/2014 18:1I:39,D,R007077,CORE,RN,TWINS,RN_TWINS,BEZEL,BD8824,-1,-1,0,0,-1,-1500,-1500,01-01-2014,2014,1,1500,1500
MKD,PTB,02-01-2014,01-01-2014,11/01/2014 13:1I:28,M,MR012454,LRC000488,RN,TWINS,RN_TWINS,BAND,124018,-1,-1,0,0,-1,-1732.07,-1732.07,02-01-2014,2014,1,1732.07,1732.07
MKD,PTB,02-01-2014,01-01-2014,11/01/2014 11:1I:06,M,MR012373,LRC000488,RN,TWINS,RN_TWINS,BAND,124007,-1,-1,0,0,-1,-1701.13,-1701.13,02-01-2014,2014,1,1701.13,1701.13
MKD,PTB,02-01-2014,01-01-2014,11/01/2014 13:1I:28,M,MR012420,LRC000488,RN,ETERNAL,RN_ETERNAL,HALF ETERNITY,124018,-1,-1,0,0,-1,-1518.65,-1518.65,02-01-2014,2014,1,1518.65,1518.65
MCC,PS1,02-01-2014,01-01-2014,03/01/2014 15:1I:24,D,BR003856,NADA,BT,FESTIVE,BT_FESTIVE,ALLAH,BD8860,-1,-1,0,0,-1,-1300,-1300,02-01-2014,2014,1,1300,1300
KEMP,PS1,03-01-2014,01-01-2014,09/06/2014 10:6I:12,M,MR011746,LRC000488,RN,TWINS,RN_TWINS,BAND,BD8777,-1,-1,0,0,-1,-3200,-3200,03-01-2014,2014,1,3200,3200
LMAD,PS1,03-01-2014,01-01-2014,05/01/2014 13:1I:08,D,BR003969,NADA,BT,FESTIVE,BT_FESTIVE,CROSS,BD8903,-1,-1,0,0,-1,-1050,-1050,03-01-2014,2014,1,1050,1050
MKD,PTB,04-01-2014,01-01-2014,09/01/2014 17:1I:03,M,MR011806,LRC000488,RN,TWINS,RN_TWINS,BAND,124005,-1,-1,0,0,-1,-1809.88,-1809.88,04-01-2014,2014,1,1809.88,1809.88
SJGS,PS1,05-01-2014,01-01-2014,18/02/2014 19:2I:27,M,MR011720,LRC000488,RN,TWINS,RN_TWINS,BAND,BD8916,-1,-1,0,0,-1,-2805,-2805,05-01-2014,2014,1,2805,2805
MCC,PTR,06-01-2014,01-01-2014,01/03/2014 10:3I:35,D,PN005893,NADA,PN,DIP,PN_DIP,PET,124020,-1,-1,0,0,-1,-4875.2,-4875.2,06-01-2014,2014,1,4875.2,4875.2
MCC,PTR,06-01-2014,01-01-2014,01/03/2014 10:3I:35,D,PN005886,NADA,PN,CLEARANCE,PN_CLEARANCE,ALLAH,124020,-1,-1,0,0,-1,-3569.5,-3569.5,06-01-2014,2014,1,3569.5,3569.5
